"ID","simulationID","simtime","Mean_CH","Mean_GF","GFR1","GFR2","GFR3","GFR4","CHR1","CHR2","CHR3","CHR4","Mean_Density","stem_r","GF_layer1","GF_layer2","GF_layer3","GF_layer4","GF_layer5","GF_layer6"
"1_140",1,140,44.9638788323184,0.684860675039246,45,198,302,435,978,854,518,56,131.097959183673,22.3,0.715710034013605,0.730449702004696,0.783409570724842,0.790057142857143,0.768132491091675,0.941280148423006
"10_140",10,140,42.3016322313045,0.720249912922327,17,182,331,514,1042,863,544,71,123.090038314176,7.7,0.745580592542013,0.758387262951157,0.808320973921641,0.754664750957854,0.762252207229718,0.938590889740315
"11_140",11,140,43.059719563715,0.699967314920739,29,198,327,461,1007,858,518,53,126.613793103448,3.4,0.732457580733443,0.746612774198981,0.811072015012902,0.747044334975369,0.794807809859408,0.950923645320197
"12_140",12,140,44.475225224602,0.697802649987655,26,210,322,457,1013,875,511,55,126.620689655172,16.6,0.732994974374285,0.754178981937603,0.818271383788625,0.786382232612507,0.722833961170675,0.935057471264368
"13_140",13,140,41.7681812390946,0.722421594632548,16,196,330,502,1043,857,476,59,122.689655172414,1.6,0.733427123243934,0.760185185185185,0.762276174837751,0.777834599649328,0.732204073401896,0.94051724137931
"14_140",14,140,42.0073076470135,0.689944700193984,52,229,269,494,1041,856,483,51,123.091954022989,14.2,0.758105617002819,0.756510162997597,0.785955016319001,0.764933406312717,0.780498084291188,0.948791629826113
"15_140",15,140,43.8394103889063,0.717294900221729,17,177,345,469,1006,863,473,46,127.5,7,0.720290309106099,0.754255214482487,0.759090540978296,0.782466761633428,0.833141882483988,0.936011904761905
"16_140",16,140,44.2676647083596,0.711653219924369,15,186,333,481,1014,874,498,64,126.584236453202,15.3,0.741533854921279,0.775765039558143,0.80340917976386,0.772236275684552,0.792021926738027,0.952093596059113
"17_140",17,140,43.9957308921269,0.669094472957986,58,231,294,432,1013,870,500,57,126.405911330049,2.7,0.725236042692939,0.776899537244365,0.751261686940786,0.740424248517141,0.742501368363437,0.953976073187896
"18_140",18,140,43.2258771145103,0.698457631900687,24,183,338,435,978,844,553,58,130.869387755102,2.2,0.703172138420586,0.747006240512734,0.754321728691477,0.73250876108019,0.775964604591837,0.946474953617811
"19_140",19,140,42.0041570463232,0.710227272727273,22,194,322,470,1003,827,477,42,127.5,8.2,0.746655328798186,0.751430224867725,0.809508308531746,0.770475832975833,0.793773896419882,0.953018707482993
"2_140",2,140,43.811424769647,0.672284959399355,56,218,295,439,1004,855,473,45,127.481150793651,23.1,0.736405783435486,0.763644809775762,0.785418407128933,0.731464076858814,0.761518025289212,0.954241071428571
"20_140",20,140,41.3930904090975,0.709280757154878,44,193,316,520,1069,857,474,44,119.77632805219,17.7,0.744736291534321,0.76283033471812,0.796515111170284,0.780919483228879,0.798582281340902,0.944798910316152
"3_140",3,140,46.1187346948771,0.670544046764434,37,228,306,409,979,864,463,55,131.123469387755,18.9,0.733396076877353,0.73171321160043,0.787530266343826,0.71400842945874,0.757211456010976,0.949617346938776
"4_140",4,140,46.1758998198867,0.67633204360881,33,204,319,396,950,859,464,52,134.969537815126,7.2,0.721472252267244,0.734031848033331,0.774594320486815,0.752611595096754,0.770633834929321,0.959697036709421
"5_140",5,140,45.3857762552022,0.671349291596338,50,228,276,426,978,861,516,67,131.131632653061,22.3,0.739193391642371,0.747183336144375,0.775419096209913,0.740674883814912,0.754116222760291,0.944679300291545
"6_140",6,140,45.4464828796319,0.714321284069183,11,181,326,462,977,870,500,48,131.126530612245,22.7,0.717546812539449,0.764612868047983,0.753510204081633,0.753330766268772,0.757772108843537,0.940345368916798
"7_140",7,140,45.6270830644427,0.653090918907245,68,232,276,404,978,862,478,62,131.131632653061,16.4,0.735327917574797,0.740833621584227,0.741566014160766,0.746185852981969,0.726588371197536,0.929128014842301
"8_140",8,140,44.4787445357998,0.684823881475667,34,210,313,423,980,852,508,49,131.113265306122,9.4,0.746730914588057,0.772411186696901,0.773393801965231,0.770766201217329,0.739495262390671,0.942380952380952
"9_140",9,140,43.5053492791281,0.705533279871692,29,206,297,483,1014,849,521,60,126.620689655172,12.2,0.75736430605143,0.787213382003757,0.794729064039409,0.764467565950002,0.778739541793729,0.955317299333526
